From	To	Species	Gene Name
ENSBTAG00000003365	SMG8	Bos taurus	SMG8 nonsense mediated mRNA decay factor(SMG8)
ENSBTAG00000029996	MIR27A	Bos taurus	microRNA mir-27a(MIR27A)
ENSBTAG00000026004	CNTNAP4	Bos taurus	contactin associated protein family member 4(CNTNAP4)
ENSBTAG00000004694	RPGRIP1	Bos taurus	RPGR interacting protein 1(RPGRIP1)
ENSBTAG00000002033	UBXN2A	Bos taurus	UBX domain protein 2A(UBXN2A)
ENSBTAG00000003364	DEFB119	Bos taurus	defensin beta 119(DEFB119)
ENSBTAG00000002039	FRMD8	Bos taurus	FERM domain containing 8(FRMD8)
ENSBTAG00000027337	CTSA	Bos taurus	cathepsin A(CTSA)
ENSBTAG00000003369	SYT12	Bos taurus	synaptotagmin 12(SYT12)
ENSBTAG00000002038	RPL14	Bos taurus	ribosomal protein L14(RPL14)
ENSBTAG00000002037	ATXN7L1	Bos taurus	ataxin 7 like 1(ATXN7L1)
ENSBTAG00000026008	METTL5	Bos taurus	methyltransferase 5, N6-adenosine(METTL5)
ENSBTAG00000015341	DEPTOR	Bos taurus	DEP domain containing MTOR interacting protein(DEPTOR)
ENSBTAG00000014011	TMOD2	Bos taurus	tropomodulin 2(TMOD2)
ENSBTAG00000015340	ANGPTL7	Bos taurus	angiopoietin like 7(ANGPTL7)
ENSBTAG00000016677	C1QL3	Bos taurus	complement C1q like 3(C1QL3)
ENSBTAG00000015345	BNIPL	Bos taurus	BCL2 interacting protein like(BNIPL)
ENSBTAG00000014014	UBIAD1	Bos taurus	UbiA prenyltransferase domain containing 1(UBIAD1)
ENSBTAG00000014015	PLA2G6	Bos taurus	phospholipase A2 group VI(PLA2G6)
ENSBTAG00000015346	NASP	Bos taurus	nuclear autoantigenic sperm protein(NASP)
ENSBTAG00000016676	PTER	Bos taurus	phosphotriesterase related(PTER)
ENSBTAG00000039313	ZNF341	Bos taurus	zinc finger protein 341(ZNF341)
ENSBTAG00000015343	DYNC2I2	Bos taurus	dynein 2 intermediate chain 2(DYNC2I2)
ENSBTAG00000016675	ANAPC7	Bos taurus	anaphase promoting complex subunit 7(ANAPC7)
ENSBTAG00000014012	CLUL1	Bos taurus	clusterin like 1(CLUL1)
ENSBTAG00000039315	OR11J12	Bos taurus	olfactory receptor family 11 subfamily J member 12(OR11J12)
ENSBTAG00000014029	HERC4	Bos taurus	HECT and RLD domain containing E3 ubiquitin protein ligase 4(HERC4)
ENSBTAG00000042956	LOC112446152	Bos taurus	U5 spliceosomal RNA(LOC112446152)
ENSBTAG00000039307	YAP1	Bos taurus	Yes1 associated transcriptional regulator(YAP1)
ENSBTAG00000014027	TRIM36	Bos taurus	tripartite motif containing 36(TRIM36)
ENSBTAG00000015358	ALDOB	Bos taurus	aldolase, fructose-bisphosphate B(ALDOB)
ENSBTAG00000014028	PSTK	Bos taurus	phosphoseryl-tRNA kinase(PSTK)
ENSBTAG00000003370	GPR135	Bos taurus	G protein-coupled receptor 135(GPR135)
ENSBTAG00000029982	MIR142	Bos taurus	microRNA mir-142(MIR142)
ENSBTAG00000029983	MIR367	Bos taurus	microRNA mir-367(MIR367)
ENSBTAG00000002042	RIC8A	Bos taurus	RIC8 guanine nucleotide exchange factor A(RIC8A)
ENSBTAG00000002041	SASH3	Bos taurus	SAM and SH3 domain containing 3(SASH3)
ENSBTAG00000027321	CCDC18	Bos taurus	coiled-coil domain containing 18(CCDC18)
ENSBTAG00000003372	SLC35B4	Bos taurus	solute carrier family 35 member B4(SLC35B4)
ENSBTAG00000029980	MIR29B-1	Bos taurus	microRNA mir-29b-1(MIR29B-1)
ENSBTAG00000029981	MIRLET7A-1	Bos taurus	microRNA let-7a-1(MIRLET7A-1)
ENSBTAG00000027320	KCNB1	Bos taurus	potassium voltage-gated channel subfamily B member 1(KCNB1)
ENSBTAG00000003371	JKAMP	Bos taurus	JNK1/MAPK8 associated membrane protein(JKAMP)
ENSBTAG00000003378	ACAP2	Bos taurus	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2(ACAP2)
ENSBTAG00000029987	MIR30D	Bos taurus	microRNA mir-30d(MIR30D)
ENSBTAG00000002046	COX8B	Bos taurus	cytochrome c oxidase subunit VIII-H (heart/muscle)(COX8B)
ENSBTAG00000003377	TMEM174	Bos taurus	transmembrane protein 174(TMEM174)
ENSBTAG00000042952	LOC112446841	Bos taurus	U6 spliceosomal RNA(LOC112446841)
ENSBTAG00000003376	ASB1	Bos taurus	ankyrin repeat and SOCS box containing 1(ASB1)
ENSBTAG00000042951	LOC112447217	Bos taurus	U6 spliceosomal RNA(LOC112447217)
ENSBTAG00000002045	PSMD13	Bos taurus	proteasome 26S subunit, non-ATPase 13(PSMD13)
ENSBTAG00000003375	TC2N	Bos taurus	tandem C2 domains, nuclear(TC2N)
ENSBTAG00000002044	SIRT3	Bos taurus	sirtuin 3(SIRT3)
